,Hotel Name,Final Price,Ratings,Ratings Count,Ratings Summary,Wizard Member,Original Price,Location,City
472,Super OYO Townhouse 726 Hotel All In One Near City Centre Salt Lake,1878,5.0,3051,Fabulous,NON WIZARD MEMBER,5365,DL-34 Karunamoyee Near Anandalok Hospital Bidhannagar Saltlake,Kolkata
473,Super OYO Capital O Hotel Hiland International Near Acropolis Mall,1304,4.4,1729,Very Good,NON WIZARD MEMBER,3725,"Near Acropolis Mall, Rajdanga Main Road, Kolkata",Kolkata
474,Flagship Swastik Inn Near South City Mall,549,2.4,30,Fair,NON WIZARD MEMBER,2937,"Poddar Nagar, Kolkata",Kolkata
475,Collection O 74257 Gokul Residency,1056,4.9,5627,Fabulous,NON WIZARD MEMBER,3017,"Near Emami City, Nagerbazar, Dum Dum, Kolkata",Kolkata
476,OYO Flagship 809125 Hotel Om Shanti Inn,549,3.7952136752136747,1015,Very Good,WIZARD MEMBER,2912,"EM Bypass, Kolkata",Kolkata
477,Townhouse Oak Hotel Lake View Royal Near Science City,1470,4.2,850,Very Good,NON WIZARD MEMBER,4343,"East Topsia Road, Kolkata",Kolkata
478,Flagship Santoshi Banquet And Marriage Hall Near St. Thomas's Church,701,2.3,47,Fair,NON WIZARD MEMBER,2328,"Kulia, Kolkata",Kolkata
479,Flagship Royal Plaza Near Acropolis Mall,1025,4.3,2017,Very Good,WIZARD MEMBER,2928,"Near GST Bhawan, Ruby, Acropolis Mall",Kolkata
480,SPOT ON Silver Green Near Netaji Subhash Chandra Bose International Airport,500,5.0,3193,Fabulous,NON WIZARD MEMBER,1945,"Mondal Ganthi Road, Kaikhali, VIP Road Kolkata 700052, West Bengal",Kolkata
481,OYO SilverKey Park Circus Near Birla Mandir,982,4.5,2329,Excellent,WIZARD MEMBER,3196,"Near S S Chatterjee Heart centre, Park Circus, Kolkata",Kolkata
482,OYO Flagship 809966 Hotel Divira Inn,599,3.7952136752136747,1015,Very Good,WIZARD MEMBER,3591,"New Town, Kolkata",Kolkata
483,OYO Ankan Regency Near Acropolis Mall,649,4.5,421,Excellent,WIZARD MEMBER,2499,"595, Rajdanga main road, Near KMDA office Kolkata, 700107",Kolkata
484,OYO Townhouse Hotel Gokul Regency Near Dum Dum Metro Station,948,4.1,4275,Very Good,NON WIZARD MEMBER,3385,"Opposite ILS Hospital, Nagerbazar, Kolkata.",Kolkata
485,OYO Townhouse 229 Hotel Mannat International Near Science City Topsia,1199,4.8,5935,Excellent,WIZARD MEMBER,4002,"Near Bypass Connector, Kolkata",Kolkata
486,OYO Flagship 3127 Sammy Hospitality,599,3.7952136752136747,1015,Very Good,WIZARD MEMBER,2332,"Salt Lake, Kolkata",Kolkata
487,Flagship Delightful Stay Em Byepass Near Birla Mandir,984,4.0,1897,Very Good,WIZARD MEMBER,2989,"Uttar Panchanna Gram, Kolkata",Kolkata
488,Flagship Sonar Bangla Guest House Near Acropolis Mall,599,4.8,592,Excellent,WIZARD MEMBER,2565,"Near G S T Bhawan, Kolkata",Kolkata
489,Flagship Hotel New Aamaze Inn Near Acropolis Mall,626,3.6,236,Good,WIZARD MEMBER,1967,"Near Vivanta Hotel, Kolkata",Kolkata
490,Flagship Fantasy Near City Centre Salt Lake,846,4.0,199,Very Good,NON WIZARD MEMBER,2417,"Salt Lake, Kolkata",Kolkata
491,Super OYO Capital O Krish Residency,1199,4.0,1212,Very Good,NON WIZARD MEMBER,6031,"Near Action Area I, New Town Bus Stand DLF1, Kolkata, West Bengal",Kolkata
492,Super OYO Townhouse 726 Hotel All In One Near City Centre Salt Lake,1878,5.0,3051,Fabulous,NON WIZARD MEMBER,5365,DL-34 Karunamoyee Near Anandalok Hospital Bidhannagar Saltlake,Kolkata
493,Super OYO Capital O Hotel Hiland International Near Acropolis Mall,1304,4.4,1729,Very Good,NON WIZARD MEMBER,3725,"Near Acropolis Mall, Rajdanga Main Road, Kolkata",Kolkata
494,Flagship Swastik Inn Near South City Mall,549,2.4,30,Fair,NON WIZARD MEMBER,2937,"Poddar Nagar, Kolkata",Kolkata
495,Collection O 74257 Gokul Residency,1056,4.9,5627,Fabulous,NON WIZARD MEMBER,3017,"Near Emami City, Nagerbazar, Dum Dum, Kolkata",Kolkata
496,OYO Flagship 809125 Hotel Om Shanti Inn,549,3.7952136752136747,1015,Very Good,WIZARD MEMBER,2912,"EM Bypass, Kolkata",Kolkata
497,Townhouse Oak Hotel Lake View Royal Near Science City,1470,4.2,850,Very Good,NON WIZARD MEMBER,4343,"East Topsia Road, Kolkata",Kolkata
498,Flagship Santoshi Banquet And Marriage Hall Near St. Thomas's Church,701,2.3,47,Fair,NON WIZARD MEMBER,2328,"Kulia, Kolkata",Kolkata
499,Flagship Royal Plaza Near Acropolis Mall,1025,4.3,2017,Very Good,WIZARD MEMBER,2928,"Near GST Bhawan, Ruby, Acropolis Mall",Kolkata
500,SPOT ON Petals Residency Near City Centre Salt Lake,616,3.4,975,Fair,NON WIZARD MEMBER,2138,"Near PVR Diamond Plaza, Kidwai Road, Kolkata",Kolkata
501,Super OYO Capital O Hotel New All In One Near City Centre Salt Lake,1547,4.8,689,Excellent,NON WIZARD MEMBER,4421,"CK-69, CK Block, Saltlake, Sector 2, Kolkata, West Bengal, 700091",Kolkata
502,Collection O Premium Hotel Near RDB Cinemas,1076,4.9,746,Fabulous,WIZARD MEMBER,3074,"1/B/24, AL BLOCK, STREET NO.22,NEW TOWN, RAJARHAT, KOLKATA",Kolkata
503,Flagship Binayak Banquet & Ac Guest House Near Acropolis Mall,399,3.3,369,Fair,WIZARD MEMBER,1930,"Behind Binayak Marriage Hall Beside Sayambor Hall, Kolkata",Kolkata
504,Townhouse OAK Kzar Corporate Hotel Near St. Thomas's Church,1910,4.7,649,Excellent,NON WIZARD MEMBER,7032,"Sealdah - Entally, Kolkata",Kolkata
505,Flagship Mourigram Near Andul Rd,1076,4.1,7115,Very Good,WIZARD MEMBER,3074,"Howrah, Kolkata",Kolkata
